#Engineering-Data-Exchange - B.I.G.-EU
PROJECT_NAME
VERSION_OF_REFERENCEFILE
TIMESTAMP_OF_LAST_CHANGE;25.03.2025
AUTHOR_OF_LAST_CHANGE;YABE Yet Another Bacnet Explorer
VERSION_OF_LAYOUT;2.3
#mandatory;mandator;mandatory;mandatory;mandatory;optional;optional;optional;optional;optional;optional;optional;optional;optional;optional;optional
# keyname;device obj.-instance;object-name;object-type;object-instance;description;present-value-default;min-present-value;max-present-value;settable;supports COV;hi-limit;low-limit;state-text-reference;unit-code;vendor-specific-addres
OBJECT_ANALOG_INPUT:46;2128101;115437_3200_001_00_OEB02_MV3;0;46;|A| Energimåler produsert -IK401 Totalt volum |C| =320.001-OE502;;;;;;;;;80
OBJECT_ANALOG_INPUT:47;2128101;115437_3200_001_00_OEB02_MV5;0;47;|A| Energimåler produsert -IK401 Tur temperatur |C| =320.001-OE502;;;;;;;;;62
OBJECT_ANALOG_INPUT:48;2128101;115437_3200_001_00_OEB02_MV6;0;48;|A| Energimåler produsert -IK401 Retur temperatur |C| =320.001-OE502;;;;;;;;;62
OBJECT_ANALOG_INPUT:49;2128101;115437_3200_001_00_OEB02_MV7;0;49;|A| Energimåler produsert -IK401 Temperaturdifferanse |C| =320.001-OE502;;;;;;;;;62
OBJECT_ANALOG_INPUT:50;2128101;115437_3200_001_00_OEB02_MV4;0;50;|A| Energimåler produsert -IK401 Gjennomstrømning |C| =320.001-OE502;;;;;;;;;135
OBJECT_ANALOG_INPUT:51;2128101;115437_3200_001_05_OEB03_MV1;0;51;|A| Energimåler produsert -IK402 Total energi |C| =320.001-OE503;;;;;;;;;19
OBJECT_ANALOG_INPUT:52;2128101;115437_3200_001_00_OEB03_MV2;0;52;|A| Energimåler produsert -IK402 Avgitt effekt |C| =320.001-OE503;;;;;;;;;48
OBJECT_ANALOG_INPUT:53;2128101;115437_3200_001_00_OEB03_MV3;0;53;|A| Energimåler produsert -IK402 Totalt volum |C| =320.001-OE503;;;;;;;;;80
OBJECT_ANALOG_INPUT:54;2128101;115437_3200_001_00_OEB03_MV5;0;54;|A| Energimåler produsert -IK402 Tur temperatur |C| =320.001-OE503;;;;;;;;;62
OBJECT_ANALOG_INPUT:55;2128101;115437_3200_001_00_OEB03_MV6;0;55;|A| Energimåler produsert -IK402 Retur temperatur |C| =320.001-OE503;;;;;;;;;62
OBJECT_ANALOG_INPUT:56;2128101;115437_3200_001_00_OEB03_MV7;0;56;|A| Energimåler produsert -IK402 Temperaturdifferanse |C| =320.001-OE503;;;;;;;;;62
OBJECT_ANALOG_INPUT:57;2128101;115437_3200_001_00_OEB03_MV4;0;57;|A| Energimåler produsert -IK402 Gjennomstrømning |C| =320.001-OE503;;;;;;;;;135
OBJECT_ANALOG_INPUT:58;2128101;115437_3200_002_05_OEA01_MV1;0;58;|A| Energimåler oppvarming energisentral Total energi |C| =320.002-OE501;;;;;;;;;19
OBJECT_ANALOG_INPUT:59;2128101;115437_3200_002_00_OEA01_MV2;0;59;|A| Energimåler oppvarming energisentral Avgitt effekt |C| =320.002-OE501;;;;;;;;;48
OBJECT_ANALOG_INPUT:60;2128101;115437_3200_002_00_OEA01_MV3;0;60;|A| Energimåler oppvarming energisentral Totalt volum |C| =320.002-OE501;;;;;;;;;80
OBJECT_ANALOG_INPUT:61;2128101;115437_3200_002_00_OEA01_MV5;0;61;|A| Energimåler oppvarming energisentral Tur temperatur |C| =320.002-OE501;;;;;;;;;62
OBJECT_ANALOG_INPUT:62;2128101;115437_3200_002_00_OEA01_MV6;0;62;|A| Energimåler oppvarming energisentral Retur temperatur |C| =320.002-OE501;;;;;;;;;62
OBJECT_ANALOG_INPUT:63;2128101;115437_3200_002_00_OEA01_MV7;0;63;|A| Energimåler oppvarming energisentral Temperaturdifferanse |C| =320.002-OE501;;;;;;;;;62
OBJECT_ANALOG_INPUT:64;2128101;115437_3200_002_00_OEA01_MV4;0;64;|A| Energimåler oppvarming energisentral Gjennomstrømning |C| =320.002-OE501;;;;;;;;;135
OBJECT_ANALOG_INPUT:65;2128101;115437_3200_003_05_OEA01_MV1;0;65;|A| Energimåler Radiatorkrets Total energi |C| =320.003-OE501;;;;;;;;;19
OBJECT_ANALOG_INPUT:66;2128101;115437_3200_003_00_OEA01_MV2;0;66;|A| Energimåler Radiatorkrets Avgitt effekt |C| =320.003-OE501;;;;;;;;;48
OBJECT_ANALOG_INPUT:67;2128101;115437_3200_003_00_OEA01_MV3;0;67;|A| Energimåler Radiatorkrets Totalt volum |C| =320.003-OE501;;;;;;;;;80
OBJECT_ANALOG_INPUT:68;2128101;115437_3200_003_00_OEA01_MV5;0;68;|A| Energimåler Radiatorkrets Tur temperatur |C| =320.003-OE501;;;;;;;;;62
OBJECT_ANALOG_INPUT:69;2128101;115437_3200_003_00_OEA01_MV6;0;69;|A| Energimåler Radiatorkrets Retur temperatur |C| =320.003-OE501;;;;;;;;;62
OBJECT_ANALOG_INPUT:70;2128101;115437_3200_003_00_OEA01_MV7;0;70;|A| Energimåler Radiatorkrets Temperaturdifferanse |C| =320.003-OE501;;;;;;;;;62
OBJECT_ANALOG_INPUT:71;2128101;115437_3200_003_00_OEA01_MV4;0;71;|A| Energimåler Radiatorkrets Gjennomstrømning |C| =320.003-OE501;;;;;;;;;135
OBJECT_ANALOG_INPUT:72;2128101;115437_3590_001_04_OEA01_MV8;0;72;|A| Energimåler energibrønner Total energi hentet fra brønner |C| =359.001-OE401;;;;;;;;;19
OBJECT_ANALOG_INPUT:73;2128101;115437_3590_001_00_OEA01_MV2;0;73;|A| Energimåler energibrønner Avgitt effekt |C| =359.001-OE401;;;;;;;;;48
OBJECT_ANALOG_INPUT:74;2128101;115437_3590_001_00_OEA01_MV3;0;74;|A| Energimåler energibrønner Totalt volum |C| =359.001-OE401;;;;;;;;;80
OBJECT_ANALOG_INPUT:75;2128101;115437_3590_001_00_OEA01_MV5;0;75;|A| Energimåler energibrønner Tur temperatur |C| =359.001-OE401;;;;;;;;;62
OBJECT_ANALOG_INPUT:76;2128101;115437_3590_001_00_OEA01_MV6;0;76;|A| Energimåler energibrønner Retur temperatur |C| =359.001-OE401;;;;;;;;;62
OBJECT_ANALOG_INPUT:77;2128101;115437_3590_001_00_OEA01_MV7;0;77;|A| Energimåler energibrønner Temperaturdifferanse |C| =359.001-OE401;;;;;;;;;62
OBJECT_ANALOG_INPUT:78;2128101;115437_3590_001_00_OEA01_MV4;0;78;|A| Energimåler energibrønner Gjennomstrømning |C| =359.001-OE401;;;;;;;;;135
